CIK,Ticker_Symbol,Company_Name,Sector,Data_Date,Market_Capitalization,Total_Assets,Total_Liabilities,Net_Income_Before_Extra_Items,Cash_Flow_From_Operations,Total_Long_Term_Debt,Current_Assets,Current_Liabilities,Common_Shares_Outstanding,Total_Sales,Cost_Of_Goods_Sold
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2010-12-31,74116.0034,59462.266,36985.802,4613.172,8735.981,12523.517,22317.529,17262.434,1546.984,35166.721,11382.887
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2011-12-31,88302.4112,60276.893,35750.748,4714.449,8970.077,12039.822,23768.774,15480.228,1570.379,38851.259,12177.686
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2012-12-31,103271.6885,67234.944,40421.712,5917.0,9314.401,18085.302,31322.583,13280.176,1576.667,39873.91,12009.511
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2013-12-31,59338.5963,42953.0,17686.0,2365.0,3324.0,3388.0,19247.0,9507.0,1548.098,21848.0,9067.0
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2014-12-31,67891.7357,41275.0,19636.0,1713.0,3675.0,3408.0,15261.0,10532.0,1508.035,20247.0,8159.0
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2015-12-31,66137.3852,41247.0,19921.0,2595.0,2966.0,5871.0,14155.0,9186.0,1472.665,20405.0,7722.0
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2016-12-31,56572.8983,52666.0,31949.0,1057.0,3203.0,20681.0,26776.0,6660.0,1472.869,20853.0,8110.0
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2017-12-31,99507.3661,76250.0,45152.0,346.0,5570.0,27210.0,20147.0,8912.0,1743.602,27390.0,10113.0
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2018-12-31,126983.9223,67173.0,36451.0,2320.0,6300.0,19359.0,14632.0,9012.0,1755.619,30578.0,11377.0
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2009-12-31,8457.75,4247.357,1495.596,86.538,115.106,736.981,604.04,190.46,156.625,613.762,303.402
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2010-12-31,12940.824,5500.351,1834.901,332.116,483.47,688.019,674.222,303.311,168.72,1422.521,674.296
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2011-12-31,6203.9645,5034.262,1819.099,-568.895,663.462,946.279,821.58,254.444,170.814,1821.799,2081.699
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2012-12-31,9028.5758,5255.842,1845.63,310.916,696.007,842.108,903.269,276.668,172.104,1917.714,892.644
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2013-12-31,4588.9065,4959.359,1982.21,-406.526,438.296,1011.843,804.831,210.654,173.954,1638.406,1257.466
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2014-12-31,5332.334,6840.538,2772.048,82.97,668.324,1343.598,908.06,328.666,214.236,1896.766,1004.559
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2015-12-31,5719.8683,6683.18,2542.16,24.583,616.238,1127.734,829.425,311.522,217.651,1985.432,995.295
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2016-12-31,9448.53,7107.951,2615.477,158.824,778.617,1079.109,1230.179,423.622,224.965,2138.232,911.731
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2017-12-31,10725.305,7865.601,2918.61,243.887,767.557,1373.766,1461.534,333.821,232.25,2242.604,1057.842
0000002809,AEM,AGNICO EAGLE MINES LTD,Basic Industries,2018-12-31,9472.1436,7852.843,3302.831,-326.701,605.65,1721.308,1072.452,361.449,234.459,2191.221,1261.048
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2009-09-30,16389.5508,13029.1,8099.1,639.9,1322.9,3715.6,2997.8,2503.6,211.26,8256.2,5202.0
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2010-09-30,17707.1645,13505.9,7808.3,1029.1,1522.4,3659.8,3033.8,2244.1,213.803,9026.0,5648.0
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2011-09-30,16051.8285,14290.7,8352.0,1215.3,1753.2,3927.5,3189.8,2342.0,210.185,10082.0,6446.9
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2012-09-30,17571.7652,16941.8,9926.0,999.2,1798.7,4584.2,3415.8,2689.9,212.476,9611.7,6214.6
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2013-09-30,22505.346,17850.1,10275.4,1004.2,1567.4,5056.3,3439.1,3227.6,211.179,10180.4,6565.1
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2014-09-30,27798.507,17779.1,9970.5,987.1,2187.1,4824.5,3294.8,2963.0,213.539,10439.0,6677.7
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2015-09-30,27475.5012,17438.1,10057.0,1277.9,2437.8,3949.1,2910.8,3648.1,215.359,9894.9,6007.7
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2016-09-30,32676.5493,18055.3,10841.9,1515.3,2627.5,4918.1,4317.3,3283.3,217.351,9524.4,5476.8
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2017-09-30,33018.2821,18467.2,8281.7,1134.4,1567.9,3402.4,5876.7,2489.0,218.346,8187.6,4887.6
0000002969,APD,AIR PRODUCTS & CHEMICALS INC,Basic Industries,2018-09-30,36670.1478,19178.3,8002.0,1455.6,2541.9,3351.7,5082.2,2338.3,219.516,8930.2,5242.9
0000003453,MATX,MATSON INC,Consumer Services,2009-12-31,1403.43,2380.0,1295.0,12.0,115.0,406.0,307.0,297.0,41.0,1405.0,1104.0
0000003453,MATX,MATSON INC,Consumer Services,2010-12-31,1653.239,2495.0,1359.0,59.0,150.0,386.0,264.0,353.0,41.3,1646.0,1272.0
0000003453,MATX,MATSON INC,Consumer Services,2011-12-31,1702.194,2544.0,1421.0,55.0,86.0,507.0,275.0,278.0,41.7,1722.0,1345.0
0000003453,MATX,MATSON INC,Consumer Services,2012-12-31,1053.072,1174.3,894.4,52.0,64.1,302.7,234.1,193.4,42.6,1560.0,1264.7
0000003453,MATX,MATSON INC,Consumer Services,2013-12-31,1117.508,1248.3,910.1,53.7,195.7,273.6,348.9,200.6,42.8,1637.2,1334.1
0000003453,MATX,MATSON INC,Consumer Services,2014-12-31,1491.264,1401.8,1038.0,70.8,165.7,352.0,519.5,223.5,43.2,1714.2,1365.4
0000003453,MATX,MATSON INC,Consumer Services,2015-12-31,1854.405,1669.8,1219.2,103.0,245.3,407.9,277.9,297.6,43.5,1884.9,1429.3
0000003453,MATX,MATSON INC,Consumer Services,2016-12-31,1518.231,2015.5,1544.0,80.5,157.8,707.1,274.2,279.2,42.9,1941.6,1524.0
0000003453,MATX,MATSON INC,Consumer Services,2017-12-31,1268.2,2247.5,1569.3,232.0,224.9,826.3,266.0,286.3,42.5,2046.9,1619.1
0000003453,MATX,MATSON INC,Consumer Services,2018-12-31,1367.254,2430.4,1675.1,109.0,305.0,814.3,318.4,370.8,42.7,2222.8,1783.3
0000004281,ARNC,ARCONIC INC,Capital Goods,2016-12-31,8130.1608,20038.0,14897.0,-1131.0,870.0,8044.0,5892.0,2749.0,438.52,12394.0,9214.0
0000004281,ARNC,ARCONIC INC,Capital Goods,2017-12-31,13118.6133,18718.0,13794.0,-127.0,701.0,6806.0,6378.0,2824.0,481.417,12960.0,10357.0
0000004281,ARNC,ARCONIC INC,Capital Goods,2018-12-31,8147.9491,18693.0,13108.0,640.0,217.0,5896.0,6581.0,3520.0,483.271,14052.0,11397.0
0000004447,HES,HESS CORP,Energy,2009-12-31,19797.3545,29465.0,15937.0,740.0,3046.0,4319.0,7987.0,6850.0,327.229,29614.0,22949.0
0000004447,HES,HESS CORP,Energy,2010-12-31,25846.1037,35396.0,18587.0,2125.0,4530.0,5537.0,8780.0,7613.0,337.681,33862.0,25544.0
0000004447,HES,HESS CORP,Energy,2011-12-31,19310.6368,39136.0,20544.0,1703.0,4984.0,6005.0,8339.0,8100.0,339.976,38466.0,29297.0
0000004447,HES,HESS CORP,Energy,2012-12-31,18087.3229,43441.0,22238.0,2025.0,5660.0,7324.0,8387.0,8382.0,341.528,37691.0,27835.0
0000004447,HES,HESS CORP,Energy,2013-12-31,27001.062,42754.0,17970.0,3798.0,4870.0,5420.0,8599.0,6558.0,325.314,22284.0,13855.0
0000004447,HES,HESS CORP,Energy,2014-12-31,21100.3397,38578.0,16258.0,1692.0,4464.0,5919.0,6687.0,4851.0,285.835,10737.0,4028.0
0000004447,HES,HESS CORP,Energy,2015-12-31,13867.5101,34195.0,13794.0,-3008.0,1981.0,6544.0,4404.0,2628.0,286.046,6636.0,3469.0
0000004447,HES,HESS CORP,Energy,2016-12-31,19716.2177,28621.0,13030.0,-6173.0,795.0,6694.0,4276.0,2251.0,316.523,4762.0,2880.0
0000004447,HES,HESS CORP,Energy,2017-12-31,14955.6134,23112.0,10758.0,-4120.0,945.0,6397.0,6157.0,2435.0,315.054,5466.0,7034.0
0000004447,HES,HESS CORP,Energy,2018-12-31,11803.1175,21433.0,10545.0,-328.0,1939.0,6605.0,4459.0,2203.0,291.435,6323.0,3057.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2009-12-31,16631.4987,48348.0,35147.0,1362.0,2475.0,16001.0,4756.0,5327.0,478.054,13489.0,9121.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2010-12-31,17299.4359,50455.0,36773.0,1211.0,2662.0,15900.0,5016.0,6518.0,480.807,14427.0,9830.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2011-12-31,19970.2041,52223.0,37558.0,1568.0,3788.0,15467.0,4182.0,6611.0,483.423,15116.0,10591.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2012-12-31,20728.3102,54367.0,39130.0,1259.0,3804.0,15961.0,4589.0,6823.0,485.668,14945.0,10161.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2013-12-31,22798.697,56414.0,40328.0,1480.0,4106.0,17256.0,4310.0,6112.0,487.777,15357.0,10503.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2014-12-31,29716.4894,59633.0,42809.0,1634.0,4613.0,16622.0,4478.0,7967.0,489.402,17020.0,11804.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2015-12-31,28613.6583,61683.1,43778.2,1763.4,4818.5,17988.2,4072.4,7108.5,491.053,16453.2,11110.0
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2016-12-31,30958.1875,63467.7,46047.6,613.4,4519.3,17620.5,6033.9,9498.0,491.712,16380.1,10942.9
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2017-12-31,36196.8814,64729.1,46403.6,1912.6,4270.4,19658.4,4253.1,8271.3,492.006,15424.9,9996.5
0000004904,AEP,AMERICAN ELECTRIC POWER CO,Public Utilities,2018-12-31,36865.206,68802.8,49634.6,1923.8,5223.2,21881.7,4113.9,8648.8,493.246,16195.7,11170.4
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2009-12-31,226.7145,254.711,101.624,-5.789,31.951,45.432,119.676,50.879,27.315,207.929,121.907
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2010-12-31,234.6365,281.799,115.362,10.984,33.19,53.712,118.645,51.186,27.475,229.62,126.157
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2011-12-31,367.9706,339.141,152.069,22.068,39.266,51.917,178.465,79.025,27.584,304.429,168.31
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2012-12-31,884.1279,399.89,174.454,36.867,40.424,36.196,222.317,113.67,28.456,366.19,191.578
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2013-12-31,697.4145,447.443,189.648,34.449,-6.214,51.676,249.506,110.499,28.712,381.021,194.829
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2014-12-31,338.1304,473.171,212.168,4.841,-34.095,99.455,287.049,81.245,29.099,298.634,167.806
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2015-12-31,408.9239,443.539,175.213,6.591,78.568,68.321,236.831,76.282,29.188,289.382,161.006
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2016-12-31,562.4164,429.956,147.599,12.788,46.406,40.951,227.075,97.074,29.369,312.113,167.498
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2017-12-31,585.3932,535.592,230.278,20.274,59.001,77.486,254.883,126.202,29.791,355.047,190.696
0000005981,AVD,AMERICAN VANGUARD CORP,Basic Industries,2018-12-31,453.4215,593.587,264.357,24.195,11.346,96.671,310.188,145.528,29.85,454.272,252.75
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2009-12-31,323.0564,471.825,292.623,27.677,39.671,0.0,209.827,89.505,10.246,299.177,202.769
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2010-12-31,289.0553,526.963,330.186,15.456,42.951,0.0,217.233,89.72,10.305,326.886,229.528
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2011-12-31,199.7048,531.632,338.76,21.309,22.287,0.0,228.531,89.159,10.326,344.816,256.03
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2012-12-31,206.7131,533.179,341.086,8.355,25.444,0.0,237.582,86.424,10.346,292.905,225.906
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2013-12-31,201.7549,502.673,267.678,12.437,37.774,0.0,246.786,86.674,10.373,281.05,217.342
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2014-12-31,200.7005,536.409,331.261,-1.187,19.975,0.0,232.256,81.49,10.426,272.858,218.597
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2015-12-31,107.1144,506.156,294.733,1.373,20.505,0.0,219.682,81.333,10.44,238.48,195.737
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2016-12-31,205.5393,565.889,416.055,-79.82,-5.634,24.164,221.464,144.292,12.271,331.866,272.052
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2017-12-31,153.2764,565.599,403.838,-12.089,-15.839,44.042,240.247,144.671,12.361,432.401,357.672
0000006176,AP,AMPCO-PITTSBURGH CORP,Capital Goods,2018-12-31,38.7345,571.119,478.15,-45.434,-6.724,31.881,227.866,167.453,12.495,419.432,351.839
0000006769,APA,APACHE CORP,Energy,2009-12-31,34710.2053,28185.743,12407.122,-291.692,4223.643,4950.39,4585.849,2392.558,336.437,8573.927,5202.436
0000006769,APA,APACHE CORP,Energy,2010-12-31,45592.5982,43425.0,19048.0,3000.0,6726.0,8095.0,3480.0,3524.0,382.392,12183.0,2900.0
0000006769,APA,APACHE CORP,Energy,2011-12-31,34793.4084,52051.0,23058.0,4508.0,9953.0,6785.0,4803.0,4963.0,384.118,16810.0,3909.0
0000006769,APA,APACHE CORP,Energy,2012-12-31,30743.8185,60737.0,29406.0,1925.0,8504.0,11355.0,4962.0,5536.0,391.641,16947.0,6059.0
0000006769,APA,APACHE CORP,Energy,2013-12-31,34012.7316,61637.0,26244.0,2188.0,9835.0,9672.0,6366.0,4700.0,395.773,16402.0,5361.0
0000006769,APA,APACHE CORP,Energy,2014-12-31,23595.5684,55952.0,27815.0,-4886.0,8461.0,11245.0,6415.0,3664.0,376.505,13749.0,8431.0
0000006769,APA,APACHE CORP,Energy,2015-12-31,16811.172,18842.0,14614.0,-22348.0,2984.0,8777.0,3752.0,1841.0,378.034,6383.0,27919.0
0000006769,APA,APACHE CORP,Energy,2016-12-31,24083.0568,22519.0,14840.0,-1372.0,2430.0,8544.0,3241.0,1843.0,379.44,5367.0,2302.0
0000006769,APA,APACHE CORP,Energy,2017-12-31,16083.9201,21922.0,13131.0,1304.0,2428.0,7934.0,3725.0,2564.0,380.955,5752.0,1730.0
0000006769,APA,APACHE CORP,Energy,2018-12-31,9835.77,21582.0,12770.0,40.0,3777.0,8054.0,2687.0,2201.0,374.696,7331.0,2334.0
0000006885,SSI,STAGE STORES INC,Consumer Services,2009-01-31,270.7205,768.043,318.04,-65.535,162.783,45.851,371.619,169.648,37.863,1515.82,1047.436
0000006885,SSI,STAGE STORES INC,Consumer Services,2010-01-31,491.0763,800.431,324.385,28.721,120.936,38.492,427.169,183.016,38.009,1431.927,989.52
0000006885,SSI,STAGE STORES INC,Consumer Services,2011-01-31,564.789,796.084,306.575,37.64,77.875,25.002,445.273,183.173,36.438,1470.59,1004.266
0000006885,SSI,STAGE STORES INC,Consumer Services,2012-01-31,468.2287,735.339,322.633,30.585,78.055,35.721,399.999,186.299,30.444,1511.919,1054.219
0000006885,SSI,STAGE STORES INC,Consumer Services,2013-01-31,731.5199,794.871,330.001,37.638,75.981,11.585,467.332,208.072,32.014,1645.8,1135.207
0000006885,SSI,STAGE STORES INC,Consumer Services,2014-01-31,611.9512,810.837,356.393,16.41,46.527,60.871,489.251,195.256,31.222,1633.556,1133.254
0000006885,SSI,STAGE STORES INC,Consumer Services,2015-01-31,632.64,824.677,348.747,37.35,102.214,45.673,504.061,204.782,31.632,1638.569,1137.863
0000006885,SSI,STAGE STORES INC,Consumer Services,2016-01-31,222.8965,848.099,418.346,3.732,40.3,162.876,500.762,155.882,26.855,1604.433,1150.682
0000006885,SSI,STAGE STORES INC,Consumer Services,2017-01-31,76.062,786.989,406.829,-37.897,84.284,163.749,464.761,168.67,27.165,1442.718,1086.622
0000006885,SSI,STAGE STORES INC,Consumer Services,2018-01-31,46.1438,806.406,462.292,-37.323,75.461,180.35,512.034,213.418,27.631,1592.275,1177.619
0000006885,SSI,STAGE STORES INC,Consumer Services,2019-01-31,26.8793,744.161,489.636,-87.905,-44.436,250.294,492.903,177.352,28.294,1641.482,1205.156
0000007039,TREC,TRECORA RESOURCES,Energy,2009-12-31,56.2932,90.487,38.021,6.627,6.515,23.44,26.299,8.032,23.434,117.587,93.443
0000007039,TREC,TRECORA RESOURCES,Energy,2010-12-31,104.6789,92.528,35.688,2.686,11.33,20.836,26.575,7.581,23.683,139.11,119.624
0000007039,TREC,TRECORA RESOURCES,Energy,2011-12-31,201.2389,110.612,44.374,8.43,4.056,22.739,41.822,12.109,23.731,199.517,170.606
0000007039,TREC,TRECORA RESOURCES,Energy,2012-12-31,197.778,120.376,38.144,10.321,21.373,14.239,41.359,12.191,23.8,222.858,188.797
0000007039,TREC,TRECORA RESOURCES,Energy,2013-12-31,298.69,143.667,40.448,19.498,13.242,11.839,46.35,14.288,23.8,236.227,197.296
0000007039,TREC,TRECORA RESOURCES,Energy,2014-12-31,352.4325,232.074,110.686,15.571,23.205,73.45,54.935,24.881,23.975,289.643,238.784
0000007039,TREC,TRECORA RESOURCES,Energy,2015-12-31,299.3176,258.811,116.426,18.598,39.565,73.917,66.353,22.947,24.158,241.976,174.272
0000007039,TREC,TRECORA RESOURCES,Energy,2016-12-31,335.4747,292.099,127.723,19.428,28.514,73.107,57.562,26.712,24.222,212.399,163.481
0000007039,TREC,TRECORA RESOURCES,Energy,2017-12-31,328.1985,327.326,142.315,18.009,30.828,91.021,57.265,31.544,24.311,245.143,193.493
0000007039,TREC,TRECORA RESOURCES,Energy,2018-12-31,192.0828,329.968,144.807,-2.332,19.895,98.288,55.232,29.491,24.626,287.932,246.496
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2009-06-30,17186.34,31585.0,18086.0,1707.0,5352.0,7800.0,19408.0,8885.0,642.0,69198.0,64388.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2010-06-30,16498.98,31548.0,16917.0,1930.0,2741.0,6830.0,18134.0,8573.0,639.0,61682.0,56982.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2011-06-30,20381.4,42193.0,23355.0,2036.0,-2340.0,8266.0,27504.0,13218.0,676.0,80676.0,75549.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2012-06-30,19453.68,41553.0,23384.0,1223.0,2895.0,6535.0,26954.0,14626.0,659.0,89038.0,84577.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2013-12-31,28600.6,43752.0,23558.0,1342.0,5226.0,5347.0,28530.0,15658.0,659.0,89804.0,85066.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2014-12-31,33124.0,44027.0,24397.0,2248.0,4962.0,5558.0,26028.0,15602.0,637.0,81201.0,75556.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2015-12-31,21824.6,40157.0,22242.0,1849.0,2481.0,5779.0,21829.0,13505.0,595.0,67702.0,62808.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2016-12-31,26157.45,39769.0,22564.0,1279.0,1475.0,6504.0,21045.0,13173.0,573.0,62346.0,57762.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2017-12-31,22324.56,39963.0,21588.0,1595.0,2211.0,6623.0,19925.0,12570.0,557.0,60828.0,56398.0
0000007084,ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Durables,2018-12-31,22902.23,40833.0,21788.0,1810.0,-4784.0,7698.0,20588.0,11776.0,559.0,64341.0,59219.0
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2009-12-31,16671.2714,4770.25,2429.269,-35.65,1359.376,997.5,564.501,536.416,345.877,2145.779,1687.087
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2010-12-31,13009.8071,6017.463,3052.587,604.118,1642.585,1093.0,580.893,693.983,347.577,2610.663,999.103
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2011-12-31,11145.7824,7902.897,3933.593,637.769,1739.817,1342.1,978.278,884.913,348.96,2952.906,1173.594
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2012-12-31,11728.1128,6737.527,3701.655,-707.064,1653.942,1668.273,808.912,767.771,351.036,2715.043,1079.932
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2013-12-31,13880.6976,8047.726,4425.696,703.503,1908.528,1950.096,644.175,688.011,352.929,3371.145,1380.91
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2014-12-31,9673.7046,14925.0,10263.0,924.0,2335.0,2466.0,1115.0,5428.0,354.478,4038.0,1723.0
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2015-12-31,2773.5541,8110.0,5828.0,-4662.0,1580.0,4728.0,393.0,707.0,390.092,3133.0,1614.0
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2016-12-31,5358.2479,7076.0,6159.0,-2751.0,498.0,4612.0,1872.0,1064.0,495.217,2436.0,1796.0
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2017-12-31,2857.5347,7521.0,5542.0,815.0,1097.0,4391.0,1509.0,780.0,512.103,3203.0,1963.0
0000007332,SWN,SOUTHWESTERN ENERGY CO,Energy,2018-12-31,1862.9342,5797.0,3435.0,535.0,1223.0,2318.0,956.0,846.0,546.315,3862.0,2286.0
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2009-12-31,2235.9056,3302.6,1394.7,77.3,260.2,432.5,1331.6,357.3,57.434,2780.0,1999.4
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2010-12-31,2497.053,2922.4,1831.6,11.0,190.4,839.6,1020.7,382.9,58.071,2766.4,1983.6
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2011-12-31,2563.1048,2994.7,1864.5,111.6,212.2,822.9,1209.3,386.1,58.425,2859.5,2064.1
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2012-12-31,2989.7218,2854.3,2135.2,143.4,220.0,1038.0,1019.9,384.7,58.934,2618.9,1873.0
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2013-12-31,3134.3873,2916.6,2243.4,100.0,213.7,1042.6,884.0,410.9,54.407,2719.9,1988.2
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2014-12-31,2818.0411,2606.2,1957.1,101.5,208.8,1003.0,811.5,388.1,55.126,2515.3,1802.6
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2015-12-31,2531.5671,2691.9,1923.1,52.5,203.7,950.9,880.8,436.3,55.359,2420.0,1698.9
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2016-12-31,2275.0904,1758.0,1491.6,93.6,49.3,848.6,406.2,224.1,54.428,1234.5,785.5
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2017-12-31,3195.3446,1873.5,1454.2,219.9,170.4,817.7,648.9,269.9,52.772,893.6,498.2
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES,Consumer Non-Durables,2018-12-31,2841.1137,1873.5,1612.3,189.0,203.2,764.8,752.8,549.5,48.808,975.3,556.5
0000007536,ARW,ARROW ELECTRONICS INC,Technology,2009-12-31,3548.1071,7762.366,4845.069,123.512,849.855,1276.138,5839.628,3332.246,119.828,14684.101,12933.207
